"Freq [GHz]","IWaveTheta [deg]","IWavePhi [deg]","dB(MonostaticRCSTheta) []"
10,90,299,14.4885385423352
10,90,300,6.90051755938908
10,90,301,13.1332286202152
10,90,302,10.5828896712032
10,90,303,13.2895550842254
10,90,304,8.34310368674056
10,90,305,12.959288432329
10,90,306,3.8319277146003
10,90,307,12.1399521263623
10,90,308,-5.88055793419175
10,90,309,9.86056179962161
10,90,310,8.56764031526712
10,90,311,11.0766438936078
10,90,312,9.00208487753497
10,90,313,10.5053023610169
10,90,314,16.4003185661145
10,90,315,6.87336963042619
10,90,316,1.38402284472331
10,90,317,2.35985547439917
10,90,318,14.5337947982189
10,90,319,8.23978803813896
10,90,320,11.8865567931145
10,90,321,8.40261670963931
10,90,322,8.94020396360982
10,90,323,3.53867825264959
10,90,324,16.9218950484146
10,90,325,5.98341310542547
10,90,326,-8.92293950405538
10,90,327,2.71229996324304
10,90,328,9.15355604223997
10,90,329,13.8941722090908
10,90,330,6.19137849864796
10,90,331,3.40969476511914
10,90,332,14.9705704571643
10,90,333,0.735592898154424
10,90,334,2.60610926762762
10,90,335,2.93548271057147
10,90,336,13.3033570619507
10,90,337,-1.26357604596867
10,90,338,15.1222377186596
10,90,339,10.6423690654417
10,90,340,6.62541162744955
10,90,341,14.3776113920044
10,90,342,11.5110683955156
10,90,343,14.7866506047305
10,90,344,18.1811820350516
10,90,345,9.88611117635319
10,90,346,9.32060842400748
10,90,347,8.4014885883912
10,90,348,4.45896864141195
10,90,349,6.00764310983325
10,90,350,1.84503111858938
10,90,351,13.5817491356462
10,90,352,11.233810161777
10,90,353,9.8296021229109
10,90,354,15.9308769849072
10,90,355,12.8568463006545
10,90,356,13.1319804002442
10,90,357,15.3033353413032
10,90,358,-0.387816353242965
10,90,359,21.1799209571616
10,90,360,26.8657477292638
